Employee_ID,Gender,Age,Department,Role_Level,Location,Education,Hire_Date,Offer_Acceptance_Date,Source_of_Hire,Expected_Salary,Offered_Salary,Manager_Experience_Years,Work_Mode,Laptop_Day1,Buddy_Assigned,Training_Hours_First_Month,Role_Clarity_Score,Onboarding_Satisfaction_Score,Manager_First_Meeting_Days,First_Project_Assigned_Days,Employment_Status,Tenure_Months,Early_Attrition,Exit_Reason_Category,Exit_Reason_Detail,Column1
EMP0001,Female,32,IT,Mid,Bangalore,Graduate,10-12-2022,02-12-2022,Job Portal,773754,748634,15,Onsite,Yes,No,6,4,2,7,6,Active,10,No,NA,NA,
EMP0002,Male,24,Operations,Mid,Pune,Postgraduate,17-09-2022,31-08-2022,Agency,426727,437853,12,Onsite,No,No,29,5,5,5,17,Active,31,No,NA,NA,
EMP0003,Male,24,Operations,Senior,Delhi,Graduate,17-04-2024,01-04-2024,Campus,794104,780139,2,Hybrid,No,No,40,5,4,2,16,Active,11,No,NA,NA,
EMP0004,Male,22,IT,Senior,Bangalore,Postgraduate,27-02-2022,13-02-2022,Job Portal,862018,874524,10,Onsite,No,Yes,27,4,1,0,23,Active,21,No,NA,NA,
EMP0005,Female,26,IT,Entry,Delhi,Postgraduate,07-09-2022,01-09-2022,Referral,774691,772246,1,Remote,Yes,No,16,5,5,1,7,Resigned,9,No,Personal,Higher Studies,
EMP0006,Female,26,Operations,Senior,Delhi,Postgraduate,26-03-2023,09-03-2023,Job Portal,414048,374403,9,Onsite,Yes,No,15,5,3,8,34,Resigned,19,No,Role Mismatch,Job Different From Discussion,
EMP0007,Male,32,HR,Entry,Bangalore,Postgraduate,06-01-2022,19-12-2021,Job Portal,601366,590032,5,Hybrid,No,No,13,2,3,9,14,Resigned,6,Yes,Personal,Higher Studies,
EMP0008,Female,39,IT,Mid,Hyderabad,Graduate,28-12-2023,30-11-2023,Agency,657272,698682,10,Remote,Yes,Yes,6,5,2,8,12,Active,21,No,NA,NA,
EMP0009,Female,37,Operations,Mid,Pune,Graduate,03-02-2024,12-01-2024,Referral,698181,685224,3,Onsite,Yes,Yes,11,4,5,3,41,Active,16,No,NA,NA,
EMP0010,Male,34,Finance,Entry,Hyderabad,Graduate,23-09-2022,15-09-2022,Referral,452604,404834,15,Remote,Yes,No,37,2,2,8,9,Active,26,No,NA,NA,
EMP0011,Female,30,Operations,Mid,Hyderabad,Graduate,19-06-2022,13-06-2022,Job Portal,789991,747640,9,Remote,No,Yes,39,5,4,5,38,Resigned,9,No,Work Culture,Team Conflict,
EMP0012,Male,30,Operations,Mid,Hyderabad,Postgraduate,01-06-2023,08-05-2023,Referral,669094,667678,11,Remote,No,Yes,5,4,5,2,38,Active,29,No,NA,NA,
EMP0013,Male,24,Sales,Mid,Mumbai,Graduate,25-12-2022,08-12-2022,Campus,493497,495620,10,Remote,No,No,35,1,5,8,6,Active,22,No,NA,NA,
EMP0014,Female,35,HR,Entry,Bangalore,Graduate,10-10-2022,05-10-2022,Referral,456481,435836,8,Hybrid,Yes,Yes,11,1,3,1,42,Resigned,1,Yes,Compensation,Low Increment,
EMP0015,Male,37,HR,Entry,Bangalore,Graduate,04-07-2022,11-06-2022,Agency,390921,430119,6,Onsite,No,Yes,9,4,4,6,45,Resigned,15,No,Work Culture,Toxic Culture,
EMP0016,Female,34,Sales,Mid,Hyderabad,Graduate,14-07-2022,22-06-2022,Referral,764858,720206,8,Remote,Yes,Yes,14,4,3,8,25,Resigned,16,No,Compensation,Salary Mismatch,
EMP0017,Female,31,Sales,Senior,Delhi,Postgraduate,08-03-2024,22-02-2024,Job Portal,618656,573693,12,Hybrid,Yes,Yes,29,5,2,4,26,Active,18,No,NA,NA,
EMP0018,Male,24,Sales,Mid,Mumbai,Postgraduate,16-05-2022,11-05-2022,Job Portal,569200,547448,13,Onsite,Yes,No,8,3,1,2,43,Active,16,No,NA,NA,
EMP0019,Male,31,IT,Senior,Bangalore,Graduate,07-11-2022,29-10-2022,Referral,443268,463054,7,Onsite,No,No,39,2,5,8,5,Active,16,No,NA,NA,
EMP0020,Male,26,Operations,Mid,Mumbai,Graduate,18-11-2023,25-10-2023,Agency,887092,844339,13,Onsite,Yes,No,7,4,5,10,32,Active,25,No,NA,NA,
EMP0021,Female,38,Operations,Entry,Pune,Graduate,30-06-2022,18-06-2022,Campus,885839,929613,8,Remote,Yes,Yes,14,5,4,5,14,Active,31,No,NA,NA,
EMP0022,Female,23,IT,Entry,Delhi,Postgraduate,25-01-2023,31-12-2022,Agency,873852,841283,12,Hybrid,No,No,11,1,3,0,26,Resigned,8,No,Compensation,Salary Mismatch,
EMP0023,Male,26,Sales,Entry,Mumbai,Graduate,05-08-2023,15-07-2023,Job Portal,435067,422832,7,Hybrid,Yes,Yes,12,3,2,4,41,Active,17,No,NA,NA,
EMP0024,Female,22,Finance,Mid,Bangalore,Graduate,20-05-2022,04-05-2022,Referral,848408,883604,2,Remote,No,No,12,1,2,2,28,Active,20,No,NA,NA,
EMP0025,Female,35,Finance,Senior,Pune,Postgraduate,18-01-2022,02-01-2022,Job Portal,360770,388632,8,Hybrid,No,No,18,4,2,6,13,Active,22,No,NA,NA,
EMP0026,Male,28,HR,Mid,Hyderabad,Postgraduate,02-05-2023,05-04-2023,Agency,623917,647045,9,Hybrid,No,No,22,1,4,3,43,Active,10,No,NA,NA,
EMP0027,Female,34,Operations,Entry,Pune,Graduate,02-10-2022,06-09-2022,Referral,387455,417883,8,Hybrid,Yes,Yes,17,2,4,6,27,Resigned,19,No,Career Growth,Lack of Learning,
EMP0028,Male,26,Operations,Senior,Mumbai,Graduate,27-02-2024,29-01-2024,Campus,493813,513417,14,Hybrid,No,No,21,3,2,9,39,Active,22,No,NA,NA,
EMP0029,Male,37,Operations,Mid,Pune,Graduate,13-04-2024,21-03-2024,Job Portal,393646,441468,11,Hybrid,Yes,Yes,7,1,5,1,45,Active,8,No,NA,NA,
EMP0030,Female,40,HR,Mid,Pune,Postgraduate,10-04-2023,16-03-2023,Campus,461503,499967,5,Remote,No,Yes,17,2,2,7,16,Resigned,2,Yes,Career Growth,No Growth Opportunity,
EMP0031,Male,22,IT,Senior,Pune,Postgraduate,12-06-2024,18-05-2024,Referral,892316,863517,2,Remote,No,Yes,14,1,4,0,27,Active,31,No,NA,NA,
EMP0032,Male,40,HR,Mid,Mumbai,Graduate,08-07-2022,25-06-2022,Campus,441446,465722,2,Onsite,Yes,Yes,28,5,4,9,31,Resigned,24,No,Career Growth,Lack of Learning,
EMP0033,Female,40,HR,Entry,Hyderabad,Graduate,28-08-2023,07-08-2023,Campus,831309,851481,6,Remote,Yes,No,35,2,5,8,32,Resigned,13,No,Work Culture,Team Conflict,
EMP0034,Female,29,Operations,Mid,Bangalore,Postgraduate,13-01-2024,21-12-2023,Campus,733245,768354,8,Hybrid,Yes,No,37,2,3,4,42,Active,34,No,NA,NA,
EMP0035,Female,23,HR,Senior,Mumbai,Postgraduate,15-03-2024,20-02-2024,Campus,823772,864996,6,Hybrid,No,Yes,31,4,3,5,13,Active,30,No,NA,NA,
EMP0036,Female,37,HR,Mid,Mumbai,Postgraduate,23-03-2023,09-03-2023,Agency,645272,611874,14,Remote,Yes,No,40,3,5,7,36,Active,34,No,NA,NA,
